	Adelie1	Adelie2	Adelie3	Adelie4	Gentoo1	Gentoo2	Gentoo3	Gentoo4
PENG0000000281	318	375	297	274	639	429	711	667
PENG0000000282	0	0	1	0	0	0	0	0
PENG0000000283	0	0	0	0	0	0	0	0
PENG0000000284	0	0	0	0	0	0	0	0
PENG0000000285	0	0	0	0	0	0	0	0
PENG0000000286	0	0	0	0	0	0	0	0
PENG0000000287	153	361	306	182	202	243	534	259
PENG0000000288	0	1	1	0	0	0	0	0
PENG0000000289	40	36	31	35	24	26	26	16
PENG0000000290	0	0	0	0	0	0	0	0
PENG0000000291	0	0	0	0	0	0	0	1
PENG0000000292	930	1071	1141	832	910	730	1653	1047
PENG0000000293	1	0	0	0	0	0	0	0
PENG0000000294	933	900	984	700	777	578	1091	801
PENG0000000295	628	558	697	603	452	401	660	628
PENG0000000296	0	0	0	0	0	0	0	0
PENG0000000297	3	3	2	6	4	2	1	5
PENG0000000298	27	13	77	83	23	12	92	87
PENG0000000299	324	83	80	67	354	47	93	62
PENG0000000300	153	145	132	132	127	106	192	126
PENG0000000301	103	137	121	87	74	67	132	84
PENG0000000302	614	678	1073	631	527	318	1296	518
PENG0000000303	665	731	692	595	641	495	1010	693
PENG0000000304	232	240	296	176	182	132	311	183
PENG0000000305	1448	1445	1796	1138	1644	1042	1875	1377
PENG0000000306	0	0	0	0	0	0	1	0
PENG0000000307	1367	1610	1876	1230	1267	1103	2400	1351
PENG0000000308	3	0	1	0	1	0	0	0
PENG0000000309	7901	8640	9177	6392	7320	4873	12035	7569
PENG0000000310	0	0	0	0	0	0	0	0
PENG0000000311	1	1	3	0	5	2	15	0
PENG0000000312	187	158	200	143	133	97	257	208
PENG0000000313	2343	3223	2527	2554	2886	2889	4673	4540
PENG0000000314	0	0	0	0	0	0	0	0
PENG0000000315	0	0	0	0	0	0	0	0
PENG0000000316	0	2	0	1	2	1	1	1
PENG0000000317	1347	1430	1490	1131	1370	765	1704	1262
PENG0000000318	0	3	0	3	0	0	1	0
PENG0000000319	519	669	546	522	342	337	421	485
PENG0000000320	0	0	0	0	0	0	0	0
PENG0000000321	99	193	176	211	102	167	380	216
PENG0000000322	0	2	1	1	1	0	1	1
PENG0000000323	3523	3764	3160	3093	3922	3048	5630	3882
PENG0000000324	1077	1109	1114	902	1261	666	1866	934
PENG0000000325	3	3	3	3	1	0	1	0
PENG0000000326	109	94	126	67	71	45	111	69
PENG0000000327	315	406	442	307	368	304	584	414
PENG0000000328	0	0	0	1	0	0	1	1
PENG0000000329	581	574	555	612	659	468	763	825
PENG0000000330	1	2	5	1	2	4	7	8
PENG0000000331	0	0	0	0	0	0	0	1
PENG0000000332	2839	3172	3083	2293	2971	2003	3681	2771
PENG0000000333	0	7	0	1	4	1	0	2
PENG0000000334	810	892	885	702	788	480	1010	674
PENG0000000335	0	3	5	2	1	2	2	1
PENG0000000336	25	24	34	19	23	15	38	17
PENG0000000337	95	59	87	154	55	35	79	67
PENG0000000338	248	227	200	220	277	138	323	227
PENG0000000339	0	0	0	0	0	0	0	0
PENG0000000340	957	1130	1118	878	1108	779	1224	1185
PENG0000000341	0	0	0	1	0	0	1	0
PENG0000000342	1456	1221	1929	878	788	346	1608	538
PENG0000000343	1175	1079	1366	1061	1338	874	1974	1398
PENG0000000344	100	101	105	59	103	54	138	72
PENG0000000345	7	13	5	15	3	4	11	5
PENG0000000346	68	80	85	81	56	60	70	88
PENG0000000347	0	0	0	0	0	0	0	0
PENG0000000348	711	786	854	626	664	623	1114	770
PENG0000000349	0	0	1	0	0	0	0	0
PENG0000000350	33	54	36	52	11	9	48	16
PENG0000000351	0	1	0	0	0	0	0	0
PENG0000000352	0	0	0	0	0	0	0	0
PENG0000000353	1102	1224	1153	933	995	687	1463	1071
PENG0000000354	0	0	0	0	0	0	0	0
PENG0000000355	1534	1625	1680	1393	1734	1200	2185	1981
PENG0000000356	66	47	49	47	60	34	68	45
PENG0000000357	874	885	769	718	893	545	942	884
PENG0000000358	1389	1784	1733	1288	1255	1099	2054	1307
PENG0000000359	4637	6763	6378	4635	5256	4921	8615	7894
PENG0000000360	0	0	0	0	0	0	0	0
PENG0000000361	0	0	0	0	0	0	0	0
PENG0000000362	657	780	771	632	601	417	1088	677
PENG0000000363	433	561	398	485	299	143	295	282
PENG0000000364	460	541	599	428	411	289	706	392
PENG0000000365	0	0	0	0	0	0	0	0
PENG0000000366	0	0	1	1	0	0	1	2
PENG0000000367	0	0	0	0	0	0	0	0
PENG0000000368	0	0	0	0	0	0	0	0
PENG0000000369	832	959	1036	729	755	492	1080	649
PENG0000000370	644	567	648	628	609	312	807	646
PENG0000000371	75	69	49	79	50	33	38	61
PENG0000000372	1025	1122	997	1055	698	534	846	739
PENG0000000373	0	0	0	0	0	0	0	0
PENG0000000374	14195	20297	14683	16075	18017	17250	33834	23886
PENG0000000375	206	177	181	128	206	111	237	142
PENG0000000376	303	344	420	268	276	203	467	277
PENG0000000377	780	818	910	693	903	594	1298	839
PENG0000000378	3147	3361	2828	2224	2859	1463	3324	2031
PENG0000000379	1	0	0	0	0	0	1	0
PENG0000000380	0	0	0	0	0	0	0	0
PENG0000000381	20	27	27	27	24	18	46	20
PENG0000000382	0	0	0	0	0	0	0	0
PENG0000000383	0	0	11	0	1	0	3	0
PENG0000000384	13247	13474	11423	9682	13941	8322	15055	10478
PENG0000000385	1	1	0	0	0	0	1	1
PENG0000000386	0	0	0	0	0	0	0	0
PENG0000000387	620	412	479	429	913	337	821	579
PENG0000000388	0	0	0	0	0	0	0	0
PENG0000000389	0	0	0	0	0	0	0	0
PENG0000000390	79	102	75	60	84	52	82	74
PENG0000000391	3	1	4	0	1	0	3	0
PENG0000000392	0	0	2	1	0	0	2	0
PENG0000000393	424	448	355	333	305	215	321	261
PENG0000000394	2	0	0	1	4	0	2	0
PENG0000000395	93	116	115	91	86	52	143	74
PENG0000000396	0	1	0	0	0	0	0	0
PENG0000000397	0	0	0	0	0	0	0	0
PENG0000000398	969	1030	1118	888	850	712	1268	955
PENG0000000399	3	1	3	2	1	1	2	1
PENG0000000400	0	0	0	0	0	0	0	0
PENG0000000401	0	0	0	0	0	0	0	0
PENG0000000402	17	2	50	12	21	1	60	8
PENG0000000403	194	270	202	202	129	136	214	145
PENG0000000404	287	266	289	182	211	156	424	231
PENG0000000405	0	0	0	0	0	0	0	0
PENG0000000406	0	0	0	0	0	0	0	0
PENG0000000407	0	2	1	0	0	0	0	1
PENG0000000408	1031	1207	1218	1245	964	739	1645	1302
PENG0000000409	0	0	0	0	0	0	0	0
PENG0000000410	10904	13735	13548	12219	7964	6999	14104	11364
PENG0000000411	5219	6279	7282	5193	4067	3355	7793	5254
PENG0000000412	227	277	255	201	171	105	276	207
PENG0000000413	626	774	752	599	707	592	1059	689
PENG0000000414	0	0	0	0	0	0	0	1
PENG0000000415	218	233	269	207	256	252	465	400
PENG0000000416	0	0	0	0	0	0	0	0
PENG0000000417	843	921	792	592	719	420	844	652
PENG0000000418	0	0	0	0	0	0	0	0
PENG0000000419	560	808	778	707	305	305	640	383
PENG0000000420	0	0	0	0	0	0	0	0
PENG0000000421	34	46	12	12	56	42	41	22
PENG0000000422	318	340	360	251	235	192	455	241
PENG0000000423	0	0	0	0	0	0	0	0
PENG0000000424	1	5	2	0	0	0	4	1
PENG0000000425	487	465	541	384	441	245	824	343
PENG0000000426	0	0	0	0	0	1	0	0
PENG0000000427	2572	3580	2583	2056	1755	1515	2452	2228
PENG0000000428	1	3	2	1	1	1	1	0
PENG0000000429	0	0	0	0	0	0	0	0
PENG0000000430	0	0	0	0	0	0	0	0
PENG0000000431	0	0	0	0	0	0	0	0
PENG0000000432	0	0	0	0	0	0	0	0
PENG0000000433	0	1	0	0	0	0	0	0
PENG0000000434	2970	3820	4018	3074	2594	2106	5214	3212
PENG0000000435	0	0	0	0	0	0	0	0
PENG0000000436	0	1	2	0	0	0	1	2
PENG0000000437	0	0	0	0	0	0	0	0
PENG0000000438	0	0	0	0	0	0	0	0
PENG0000000439	1330	1716	1618	1335	1437	1165	2409	1413
PENG0000000440	0	0	0	0	0	0	0	0
PENG0000000441	592	684	874	650	528	393	852	697
PENG0000000442	0	0	0	0	0	0	0	0
PENG0000000443	10	10	14	7	5	6	11	7
PENG0000000444	381	433	448	359	356	262	588	321
PENG0000000445	11	29	23	22	5	6	12	12
PENG0000000446	106	148	185	103	76	43	222	70
PENG0000000447	1	1	2	3	1	0	1	0
PENG0000000448	531	511	519	447	243	179	414	336
PENG0000000449	0	0	0	0	0	0	0	0
PENG0000000450	1	9	10	7	2	0	3	3
PENG0000000451	0	0	0	0	0	0	0	0
PENG0000000452	297	367	357	299	196	144	342	211
PENG0000000453	225	185	290	156	248	75	314	197
PENG0000000454	0	0	0	1	0	0	0	0
PENG0000000455	0	0	0	0	0	0	0	0
PENG0000000456	386	387	526	317	371	228	688	302
PENG0000000457	0	0	0	0	0	0	0	0
PENG0000000458	0	0	0	0	0	0	0	0
PENG0000000459	0	0	0	0	0	0	0	0
PENG0000000460	0	0	0	0	0	0	0	0
PENG0000000461	7	7	3	3	5	3	5	6
PENG0000000462	411	547	613	418	392	309	741	463
PENG0000000463	0	0	0	0	0	0	0	0
PENG0000000464	2	7	8	8	2	2	9	4
PENG0000000465	0	0	0	0	0	0	0	1
PENG0000000466	559	838	970	680	616	503	1018	692
PENG0000000467	28	52	7	28	36	72	9	40
PENG0000000468	0	0	0	0	0	0	0	0
PENG0000000469	0	0	0	0	0	0	0	0
PENG0000000470	1	1	0	1	2	0	1	1
PENG0000000471	0	0	0	0	0	0	0	0
PENG0000000472	917	1497	1566	1438	1034	1034	2852	1757
PENG0000000473	0	0	0	0	0	0	0	0
PENG0000000474	460	506	542	386	354	236	599	397
PENG0000000475	2	38	3	24	5	18	4	32
PENG0000000476	1183	1290	1616	1144	668	543	1250	733
PENG0000000477	172	246	247	171	128	109	219	171
PENG0000000478	23	27	25	27	13	5	15	23
PENG0000000479	1424	1742	2342	1262	2617	2364	5198	3761
PENG0000000480	241	294	241	201	280	196	347	291
PENG0000000481	0	0	0	0	0	0	0	0
PENG0000000482	2530	3014	3349	2428	2322	1895	4417	2486
PENG0000000483	0	0	0	0	0	0	2	1
PENG0000000484	0	0	0	0	0	0	0	0
PENG0000000485	0	0	0	0	0	0	0	0
PENG0000000486	0	1	1	0	1	0	0	0
PENG0000000487	115	181	165	167	47	55	136	55
PENG0000000488	0	0	0	0	0	0	0	0
PENG0000000489	1372	1606	1778	1296	1861	1881	2530	2116
PENG0000000490	28	33	29	37	23	9	41	23
PENG0000000491	1	1	0	1	0	3	2	0
PENG0000000492	7	10	1	5	3	3	6	6
PENG0000000493	0	0	0	0	0	0	0	0
PENG0000000494	350	321	381	271	306	162	336	245
PENG0000000495	0	0	0	0	0	0	0	0
PENG0000000496	0	0	0	0	0	0	0	0
PENG0000000497	0	0	0	0	0	0	0	0
PENG0000000498	0	0	0	0	0	0	0	0
PENG0000000499	0	0	0	0	0	0	0	0
PENG0000000500	1163	1221	1308	915	1070	764	1667	1049
PENG0000000501	15	29	26	7	8	5	22	9
PENG0000000502	0	1	0	1	0	0	0	0
PENG0000000503	0	0	0	0	0	0	0	0
PENG0000000504	135	161	121	132	104	100	148	117
PENG0000000505	2	1	1	0	0	0	2	0
PENG0000000506	4	9	8	4	11	4	18	7
PENG0000000507	5	14	12	5	6	15	24	9
PENG0000000508	908	922	1024	702	688	502	1165	709
PENG0000000509	66	75	66	51	53	43	59	54
PENG0000000510	143	165	99	145	93	107	113	134
PENG0000000511	0	0	0	0	0	0	0	0
PENG0000000512	0	0	0	0	0	0	0	0
PENG0000000513	0	1	0	1	0	4	1	2
PENG0000000514	167	181	117	119	129	83	206	112
PENG0000000515	189	207	169	186	147	97	241	178
PENG0000000516	1	0	1	1	1	0	1	0
PENG0000000517	1	4	2	8	0	1	7	2
PENG0000000518	1321	1372	1174	1035	1283	893	1604	1210
PENG0000000519	0	0	0	0	0	0	0	0
PENG0000000520	0	0	0	0	1	0	0	0
PENG0000000521	176	226	251	189	164	120	261	196
PENG0000000522	2	1	1	0	0	1	0	0
PENG0000000523	0	0	0	0	0	0	0	0
PENG0000000524	6	5	2	2	3	1	3	2
PENG0000000525	274	283	332	228	237	169	341	221
PENG0000000526	1061	950	1208	857	688	506	1020	808
PENG0000000527	0	0	0	0	0	0	0	0
PENG0000000528	0	0	1	0	0	0	0	0
PENG0000000529	0	0	0	0	0	0	0	0
PENG0000000530	184	126	70	129	114	62	74	118
PENG0000000531	1	0	1	0	0	3	2	0
PENG0000000532	1	2	5	12	1	2	5	1
PENG0000000533	470	919	986	675	638	734	1857	988
PENG0000000534	132	98	79	243	95	82	168	263
PENG0000000535	0	0	0	1	0	0	1	0
PENG0000000536	12	11	14	12	10	15	20	13
PENG0000000537	3	8	1	5	1	1	1	8
PENG0000000538	0	0	0	0	0	0	0	0
PENG0000000539	0	0	0	0	0	0	0	0
PENG0000000540	4	5	2	3	6	4	3	7
PENG0000000541	819	1050	1236	922	1341	1553	2745	2246
PENG0000000542	0	0	0	0	0	0	0	0
PENG0000000543	0	0	0	0	0	0	0	0
PENG0000000544	0	0	0	0	0	0	0	0
PENG0000000545	0	0	0	0	0	0	0	0
PENG0000000546	0	0	0	2	0	1	0	0
PENG0000000547	191	141	226	124	116	47	123	88
PENG0000000548	0	0	1	1	0	0	0	0
PENG0000000549	0	0	0	0	0	0	0	0
PENG0000000550	4042	3336	3401	2553	3439	1584	3137	2304
PENG0000000551	11	24	41	77	108	485	607	660
PENG0000000552	0	0	0	0	0	0	0	0
PENG0000000553	0	0	0	0	0	0	0	0
